Class,precision,recall,f1-score,support,Total Images,Misclassified Images
Apple___Apple_scab,0.9981657495414373,0.9897486772486772,0.9939393939393939,6048.0,6048,62
Apple___Black_rot,1.0,0.993963782696177,0.9969727547931383,5964.0,5964,36
Apple___Cedar_apple_rust,1.0,0.981439393939394,0.9906327662014911,2640.0,2640,49
Apple___healthy,0.9936580416032471,0.9921479229989868,0.9929024081115336,3948.0,3948,31
Blueberry___healthy,0.9972345132743363,1.0,0.9986153420105234,3606.0,3606,0
Cherry_(including_sour)___Powdery_mildew,1.0,0.9996041171813144,0.9998020194020986,2526.0,2526,1
Cherry_(including_sour)___healthy,0.9956204379562044,0.9970760233918129,0.9963476990504018,2052.0,2052,6
Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,0.94,0.9038461538461539,0.9215686274509803,52.0,52,5
Corn_(maize)___Common_rust_,1.0,1.0,1.0,120.0,120,0
Corn_(maize)___Northern_Leaf_Blight,0.9514563106796117,0.98989898989899,0.9702970297029703,99.0,99,1
Corn_(maize)___healthy,1.0,1.0,1.0,2790.0,2790,0
Grape___Black_rot,0.9989382410192886,0.9966454802259888,0.9977905435262925,11328.0,11328,38
Grape___Esca_(Black_Measles),0.9982696358712008,0.9988708220415538,0.9985701384708007,13284.0,13284,15
Grape___Leaf_blight_(Isariopsis_Leaf_Spot),0.9999008034917171,0.975609756097561,0.9876059373928379,10332.0,10332,252
Grape___healthy,0.9883381924198251,1.0,0.9941348973607038,1017.0,1017,0
Orange___Haunglongbing_(Citrus_greening),0.9981916817359855,1.0,0.9990950226244344,552.0,552,0
Peach___Bacterial_spot,0.9914163090128756,1.0,0.9956896551724138,231.0,231,0
Peach___healthy,0.6851851851851852,1.0,0.8131868131868132,37.0,37,0
"Pepper,_bell___Bacterial_spot",0.9996620479891856,0.9899598393574297,0.9947872877080881,2988.0,2988,30
"Pepper,_bell___healthy",0.9902125279642058,0.99774584389969,0.9939649122807017,3549.0,3549,8
Potato___Early_blight,1.0,0.999,0.9994997498749375,3000.0,3000,3
Potato___Late_blight,0.9956214213539912,0.9853333333333333,0.9904506617523874,3000.0,3000,44
Potato___healthy,0.9862258953168044,0.9781420765027322,0.9821673525377229,366.0,366,8
Raspberry___healthy,1.0,0.9988776655443322,0.9994385176866929,891.0,891,1
Soybean___healthy,0.9658444022770398,1.0,0.9826254826254827,509.0,509,0
Squash___Powdery_mildew,0.9484536082474226,1.0,0.9735449735449735,184.0,184,0
Strawberry___Leaf_scorch,0.9848372781065089,0.9996246246246246,0.9921758569299552,2664.0,2664,1
Strawberry___healthy,1.0,0.9990867579908675,0.9995431703974418,1095.0,1095,1
Tomato___Bacterial_spot,0.98311124883793,0.9943582510578279,0.9887027658745617,6381.0,6381,36
Tomato___Early_blight,0.9892183288409704,0.9786666666666667,0.9839142091152815,3000.0,3000,64
Tomato___Late_blight,0.9679008152173914,0.9951108782957918,0.9813172621609987,5727.0,5727,28
Tomato___Leaf_Mold,0.9989462592202318,0.9957983193277311,0.997369805365597,2856.0,2856,12
Tomato___Septoria_leaf_spot,0.9838679770072316,0.9986824769433466,0.9912198767046516,5313.0,5313,7
Tomato___Spider_mites Two-spotted_spider_mite,0.9726638231872818,0.9978122513922036,0.9850775574317691,5028.0,5028,11
Tomato___Target_Spot,0.9929816069699903,0.9741215574548908,0.9834611697027804,4212.0,4212,109
Tomato___Tomato_Yellow_Leaf_Curl_Virus,0.9871323529411765,1.0,0.9935245143385754,537.0,537,0
Tomato___Tomato_mosaic_virus,0.993766696349065,0.9973190348525469,0.9955396966993756,1119.0,1119,3
Tomato___healthy,0.9979074025634319,0.9989526053940823,0.9984297304370584,3819.0,3819,4

==================================================
OVERALL CLASSIFICATION PERFORMANCE
==================================================
Total Images: 122864
Correctly Classified: 121998 (99.30%)
Incorrectly Classified: 866 (0.70%)
--------------------------------------------------
Accuracy: 0.9930
F1 Score (weighted): 0.9930
Precision (weighted): 0.9931
==================================================
